symbol	ensembl	mitocarta_list	evidence	sub_localization
Auh	ENSMUSG00000021460	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Afg3l2	ENSMUSG00000024527	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	MIM
Pmpca	ENSMUSG00000026926	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Cox11	ENSMUSG00000020544	MitoCarta3.0	literature, APEX_IMS, targetP signal, yeast mito homolog++, 	MIM
Sucla2	ENSMUSG00000022110	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Lars2	ENSMUSG00000035202	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Atp5o	ENSMUSG00000022956	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Mrpl46	ENSMUSG00000030612	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Cox15	ENSMUSG00000040018	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, Rickettsia	MIM
Higd2a	ENSMUSG00000025868	MitoCarta3.0	APEX_IMS, yeast mito homolog++, mito protein domain+, induct	MIM
Uqcrh	ENSMUSG00000063882	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog++, mito protein dom	MIM
Etfdh	ENSMUSG00000027809	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, mito protein 	MIM
Timm10	ENSMUSG00000027076	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog++, mito protein dom	MIM
Echs1	ENSMUSG00000025465	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Hadha	ENSMUSG00000025745	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	MIM
Bckdha	ENSMUSG00000060376	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	MIM
Suclg1	ENSMUSG00000052738	MitoCarta3.0	targetP signal, yeast mito homolog+, Rickettsial homolog, mi	Matrix
Cs	ENSMUSG00000005683	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Cox6a1	ENSMUSG00000041697	MitoCarta3.0	literature, targetP signal+, yeast mito homolog+, mito prote	MIM
Acads	ENSMUSG00000029545	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	Matrix
Ndufv2	ENSMUSG00000024099	MitoCarta3.0	literature, APEX_matrix, targetP signal+, Rickettsial homolo	MIM
Iars2	ENSMUSG00000026618	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog++, Rickettsi	Matrix
Coq6	ENSMUSG00000021235	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Atp5k	ENSMUSG00000050856	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog++, mito protein dom	MIM
Idh3b	ENSMUSG00000027406	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Ndufa6	ENSMUSG00000022450	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	MIM
Letm1	ENSMUSG00000005299	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal, yeast mit	MIM
Atpaf2	ENSMUSG00000042709	MitoCarta3.0	literature, targetP signal+, yeast mito homolog++, mito prot	Matrix
Rtn4ip1	ENSMUSG00000019864	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Mrpl43	ENSMUSG00000025208	MitoCarta3.0	literature, targetP signal+, yeast mito homolog++, mito prot	Matrix
Abhd11	ENSMUSG00000040532	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Timm50	ENSMUSG00000003438	MitoCarta3.0	literature, APEX_IMS, targetP signal+, yeast mito homolog++,	MIM
Mrpl28	ENSMUSG00000024181	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Sdhaf2	ENSMUSG00000024668	MitoCarta3.0	GFP, targetP signal, yeast mito homolog++, Rickettsial homol	Matrix
Ndufb8	ENSMUSG00000025204	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal+, mito pro	MIM
Dld	ENSMUSG00000020664	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	Matrix
Ndufs2	ENSMUSG00000013593	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	MIM
Ndufv1	ENSMUSG00000037916	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	MIM
Opa1	ENSMUSG00000038084	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog++, mito protein dom	MIM
Immt	ENSMUSG00000052337	MitoCarta3.0	literature, targetP signal, yeast mito homolog, mito protein	MIM
Apool	ENSMUSG00000025525	MitoCarta3.0	literature, yeast mito homolog, mito protein domain+, induct	MIM
Lonp1	ENSMUSG00000041168	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Letmd1	ENSMUSG00000037353	MitoCarta3.0	GFP, targetP signal, yeast mito homolog+, mito protein domai	Membrane
Pdk4	ENSMUSG00000019577	MitoCarta3.0	literature, targetP signal, yeast mito homolog+, mito protei	MIM
Mtif2	ENSMUSG00000020459	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Ndufs8	ENSMUSG00000059734	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	MIM
Ndufs7	ENSMUSG00000020153	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	MIM
Mrrf	ENSMUSG00000026887	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Mrpl2	ENSMUSG00000002767	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, Rickettsial h	Matrix
Gfm2	ENSMUSG00000021666	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Timm9	ENSMUSG00000021079	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog++, mito protein dom	MIM
Pitrm1	ENSMUSG00000021193	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Acadm	ENSMUSG00000062908	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Supv3l1	ENSMUSG00000020079	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Mrpl1	ENSMUSG00000029486	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Aco2	ENSMUSG00000022477	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	Matrix
Coq10a	ENSMUSG00000039914	MitoCarta3.0	targetP signal+, yeast mito homolog+, Rickettsial homolog, m	MIM
Samm50	ENSMUSG00000022437	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, yeast mito homolog++, Ric	MOM
Mrps2	ENSMUSG00000035772	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Surf1	ENSMUSG00000015790	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, Rickettsia	MIM
Mrpl44	ENSMUSG00000026248	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Phb	ENSMUSG00000038845	MitoCarta3.0	literature, yeast mito homolog+, Rickettsial homolog, mito p	MIM
Guf1	ENSMUSG00000029208	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog++, Rickettsi	Matrix
Polrmt	ENSMUSG00000020329	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Ghitm	ENSMUSG00000041028	MitoCarta3.0	literature, APEX_IMS, targetP signal+, Rickettsial homolog, 	MIM
Timm13	ENSMUSG00000020219	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog++, mito protein dom	MIM
Cpt2	ENSMUSG00000028607	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Mrpl10	ENSMUSG00000001445	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mto1	ENSMUSG00000032342	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Prdx3	ENSMUSG00000024997	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal+, Ricketts	Matrix
Cox7a2	ENSMUSG00000032330	MitoCarta3.0	literature, targetP signal, mito protein domain+, induction,	MIM
Atp5j	ENSMUSG00000022890	MitoCarta3.0	literature, APEX_IMS, targetP signal, mito protein domain+, 	MIM
Iba57	ENSMUSG00000049287	MitoCarta3.0	APEX_matrix, targetP signal+, yeast mito homolog++, Ricketts	Matrix
Mrpl40	ENSMUSG00000022706	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Hibch	ENSMUSG00000041426	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Ndufs6	ENSMUSG00000021606	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	MIM
Oxct1	ENSMUSG00000022186	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	Matrix
Gatd3a	ENSMUSG00000053329	MitoCarta3.0	APEX_matrix, targetP signal+, mito protein domain, induction	Matrix
Ndufb9	ENSMUSG00000022354	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal, mito prot	MIM
Cox6c	ENSMUSG00000014313	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal, mito prot	MIM
Sod2	ENSMUSG00000006818	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Ndufb5	ENSMUSG00000027673	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal+, mito pro	MIM
Hadh	ENSMUSG00000027984	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Fech	ENSMUSG00000024588	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Lias	ENSMUSG00000029199	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	Matrix
Nfs1	ENSMUSG00000027618	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Fdx1	ENSMUSG00000032051	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Mrm1	ENSMUSG00000018405	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog++, Rickettsi	Matrix
Mrps18a	ENSMUSG00000023967	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Malsu1	ENSMUSG00000029815	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Gatb	ENSMUSG00000028085	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Yars2	ENSMUSG00000022792	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Fxn	ENSMUSG00000059363	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Idh3g	ENSMUSG00000002010	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog+, Rickettsial ho	Matrix
Mrps28	ENSMUSG00000040269	MitoCarta3.0	literature, targetP signal+, mito protein domain+, coexpress	Matrix
Timm44	ENSMUSG00000002949	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	MIM
Clpx	ENSMUSG00000015357	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mrpl3	ENSMUSG00000032563	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mecr	ENSMUSG00000028910	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Slc25a20	ENSMUSG00000032602	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, induc	MIM
Slc25a4	ENSMUSG00000031633	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, induc	MIM
Mtch2	ENSMUSG00000027282	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog+, mito protein doma	MOM
Pdk2	ENSMUSG00000038967	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Cox6b1	ENSMUSG00000036751	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog+, mito protein doma	MIM
Vdac1	ENSMUSG00000020402	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog+, mito protein doma	MOM
Mrpl4	ENSMUSG00000003299	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mrps14	ENSMUSG00000058267	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Hspa9	ENSMUSG00000024359	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog, Rickettsial	Matrix
Ndufa9	ENSMUSG00000000399	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	MIM
Ndufa2	ENSMUSG00000014294	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	MIM
Iscu	ENSMUSG00000025825	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
C1qbp	ENSMUSG00000018446	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Afg1l	ENSMUSG00000038302	MitoCarta3.0	APEX_matrix, targetP signal+, yeast mito homolog++, Ricketts	MIM
Micos10	ENSMUSG00000050608	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog, mito protein domai	MIM
Cox17	ENSMUSG00000046516	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog, mito protein domai	IMS
Uqcc1	ENSMUSG00000005882	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	MIM
Mrpl33	ENSMUSG00000029142	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, Rickettsia	Matrix
Acadl	ENSMUSG00000026003	MitoCarta3.0	literature, targetP signal+, mito protein domain+, induction	MIM
Ndufs4	ENSMUSG00000021764	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	MIM
Phb2	ENSMUSG00000004264	MitoCarta3.0	literature, yeast mito homolog++, Rickettsial homolog, mito 	MIM
Bckdhb	ENSMUSG00000032263	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog+, Rickettsial ho	MIM
Mrps12	ENSMUSG00000045948	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, Rickettsia	Matrix
Mcat	ENSMUSG00000048755	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mrpl24	ENSMUSG00000019710	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mrpl13	ENSMUSG00000022370	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	Matrix
Pcca	ENSMUSG00000041650	MitoCarta3.0	literature, targetP signal+, Rickettsial homolog, mito prote	Matrix
Mrpl17	ENSMUSG00000030879	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Aifm1	ENSMUSG00000036932	MitoCarta3.0	literature, APEX_IMS, targetP signal, yeast mito homolog, mi	MIM
Cox4i1	ENSMUSG00000031818	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal, mito prot	MIM
Ndufaf4	ENSMUSG00000028261	MitoCarta3.0	APEX_matrix, GFP, mito protein domain+, induction, coexpress	MIM
Slc25a35	ENSMUSG00000018740	MitoCarta3.0	APEX_matrix, yeast mito homolog+, mito protein domain+, indu	MIM
Dap3	ENSMUSG00000068921	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Atp5c1	ENSMUSG00000025781	MitoCarta3.0	literature, yeast mito homolog++, Rickettsial homolog, mito 	MIM
Slc25a11	ENSMUSG00000014606	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, induc	MIM
Timm8b	ENSMUSG00000039016	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, induc	MIM
Sdhaf1	ENSMUSG00000074211	MitoCarta3.0	literature, targetP signal+, yeast mito homolog, mito protei	Matrix
Mrpl15	ENSMUSG00000033845	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Alas1	ENSMUSG00000032786	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Cmc2	ENSMUSG00000014633	MitoCarta3.0	APEX_IMS, yeast mito homolog++, mito protein domain+, induct	IMS
Pptc7	ENSMUSG00000038582	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog, mito protei	Matrix
Bckdk	ENSMUSG00000030802	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Txn2	ENSMUSG00000005354	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	Matrix
Suclg2	ENSMUSG00000061838	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mfn1	ENSMUSG00000027668	MitoCarta3.0	literature, yeast mito homolog++, mito protein domain+, indu	MOM
Ndufb6	ENSMUSG00000071014	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, mito protein domain+, ind	MIM
Ndufa5	ENSMUSG00000023089	MitoCarta3.0	literature, APEX_matrix, mito protein domain+, induction, co	MIM
Mtx2	ENSMUSG00000027099	MitoCarta3.0	literature, mito protein domain+, induction, coexpression++,	MOM
Ogdhl	ENSMUSG00000021913	MitoCarta3.0	APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsi	Matrix
Acat1	ENSMUSG00000032047	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Echdc3	ENSMUSG00000039063	MitoCarta3.0	targetP signal, yeast mito homolog+, mito protein domain, in	Matrix
Mrpl21	ENSMUSG00000024829	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Nfu1	ENSMUSG00000029993	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog++, Rickettsi	Matrix
Mrpl55	ENSMUSG00000036860	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Taco1	ENSMUSG00000001983	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Sdhaf3	ENSMUSG00000042505	MitoCarta3.0	targetP signal, yeast mito homolog++, mito protein domain+, 	Matrix
Mrpl11	ENSMUSG00000024902	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, Rickettsia	Matrix
Echdc2	ENSMUSG00000028601	MitoCarta3.0	targetP signal+, yeast mito homolog+, Rickettsial homolog, m	Matrix
Cox5b	ENSMUSG00000061518	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mi	MIM
Acadsb	ENSMUSG00000030861	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Eral1	ENSMUSG00000020832	MitoCarta3.0	APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsi	Matrix
Abcb10	ENSMUSG00000031974	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	MIM
Bcs1l	ENSMUSG00000026172	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, Rickettsial h	MIM
Hsdl2	ENSMUSG00000028383	MitoCarta3.0	APEX_matrix, GFP, Rickettsial homolog, mito protein domain+,	Matrix
Cmc1	ENSMUSG00000039163	MitoCarta3.0	APEX_IMS, GFP, yeast mito homolog++, mito protein domain+, i	IMS
Me3	ENSMUSG00000030621	MitoCarta3.0	literature, targetP signal, yeast mito homolog+, Rickettsial	Matrix
Hspd1	ENSMUSG00000025980	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Lyrm7	ENSMUSG00000020268	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Tsfm	ENSMUSG00000040521	MitoCarta3.0	literature, APEX_matrix, targetP signal+, Rickettsial homolo	Matrix
Ethe1	ENSMUSG00000064254	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Aldh4a1	ENSMUSG00000028737	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Vdac2	ENSMUSG00000021771	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog+, mito protein doma	MOM
Coa6	ENSMUSG00000051671	MitoCarta3.0	APEX_IMS, yeast mito homolog++, mito protein domain+, induct	IMS
Coq4	ENSMUSG00000026798	MitoCarta3.0	literature, targetP signal+, yeast mito homolog++, mito prot	MIM
Ivd	ENSMUSG00000027332	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	Matrix
Acadvl	ENSMUSG00000018574	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	MIM
Slc25a1	ENSMUSG00000003528	MitoCarta3.0	literature, yeast mito homolog++, mito protein domain+, coex	MIM
Slc25a42	ENSMUSG00000002346	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, induc	MIM
Abcb8	ENSMUSG00000028973	MitoCarta3.0	literature, targetP signal, yeast mito homolog, Rickettsial 	MIM
Ndufs5	ENSMUSG00000028648	MitoCarta3.0	literature, APEX_IMS, mito protein domain+, induction, coexp	MIM
Mrps7	ENSMUSG00000046756	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mccc1	ENSMUSG00000027709	MitoCarta3.0	literature, targetP signal, Rickettsial homolog, mito protei	Matrix
Mrpl49	ENSMUSG00000007338	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Ndufaf5	ENSMUSG00000027384	MitoCarta3.0	literature, APEX_matrix, GFP, targetP signal, Rickettsial ho	MIM
Mrps9	ENSMUSG00000060679	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Ndufb10	ENSMUSG00000040048	MitoCarta3.0	literature, APEX_matrix, mito protein domain+, induction, co	MIM
Dnaja3	ENSMUSG00000004069	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
